"id";"referencia";"Tipo";"Estado";"Cidade";"Bairro";"endereco";"numero";"complemento";"descricao";"QtdDormitorio";"QtdSuite";"QtdBanheiro";"QtdBoxes";"AreaTotal";"AreaPrivativa";"areaUtil";"preco";"preco_loca";"precoCondominio";"DataCadastro"
"787753";"AP302310";"Apartamento 03 dormitórios";"RIO GRANDE DO SUL";"Caxias do Sul";"Pio X";"Rua Guilherme Adamatti";"316";"Apto 42";"Apartamento semi-mobiliado 03 dormitórios sendo 01 suíte, lavanderia ampla, cozinha reformada com móveis fixos, sala de jantar e  sala de estar integrados com sacada fechada, banheiro social, box com capacidade para 02 carros grandes com entradas individuais;
Acabamento em decoração em gesso, massa corrida, piso cerâmico ou porcelanato, piso laminado e teto rebaixado em gesso;
Condomínio com alarme, cerca elétrica, gás central, hall de entrada, portão eletrônico e salão de festas mobiliado com churrasqueira;
Ótima localização e excelente orientação solar.
";"3";"1";"2";NULL;"144";"103";NULL;"489000";"0";"250";"2021-02-17 10:18:41"
"787777";"AP202319";"Apartamento 02 dormitórios";"RIO GRANDE DO SUL";"Caxias do Sul";"Jardim América";"Rua Estados Unidos";"187";"Apto 102";"Excelente apartamento no Jardim América em região nobre da cidade, com 02 dormitórios, banheiro social, churrasqueira, hidrômetro individual, sacada, terraço, sala de estar e jantar integrados;
Acabamento em massa corrida, piso laminado e porcelanato e teto rebaixado em gesso;
Condomínio com interfone e jardim.";"2";"0";"1";NULL;NULL;"64";NULL;"240000";"0";"0";"2021-02-17 11:23:30"
"787787";"AP202320";"Apartamento 02 dormitórios";"RIO GRANDE DO SUL";"Caxias do Sul";"Jardim América";"Rua Estados Unidos";"187";"Apto 204";"Lindo apartamento no Jardim América em região nobre da cidade, com 02 dormitórios, banheiro social, churrasqueira, hidrômetro individual, sacada, sala de estar e jantar integrados;
Acabamento em massa corrida, piso laminado e porcelanato e teto rebaixado em gesso;
Condomínio com interfone e jardim.";"2";"0";"1";NULL;NULL;"52";NULL;"230000";"0";"0";"2021-02-17 11:50:28"
"790289";"AP302314";"Apartamento 03 dormitórios";"RIO GRANDE DO SUL";"Caxias do Sul";"Bela Vista";"Rua Honorino Pedro de Zorzi";"902";"apto 601";"Excelente apartamento semimobiliado com 03 dormitórios, sendo 01 suíte, no Bela Vista em andar alto com ótima iluminação. Acabamentos em piso laminado e porcelanato, esquadrias de alumínio com gelosia nos dormitórios. Água quente, ampla sacada fechada com churrasqueira, forno e fogão, box duplo com 02 vagas de garagem";"3";"1";"2";NULL;"0";"87";"87";"365000";"0";"0";"2021-03-03 09:57:33"
"793067";"TER02319";"Terreno";"RIO GRANDE DO SUL";"Caxias do Sul";"Pio X";"Rua Visconde de Pelotas";"1187";NULL;"Terreno na Visconde de Pelotas à 130 metros da Rua Os Dezoito do Forte, com 474,28 m² com posição de frente Oeste.";NULL;"0";NULL;NULL;NULL;NULL;NULL;"1800000";"0";"0";"2021-03-10 16:16:49"
"793068";"TER02320";"Terreno";"RIO GRANDE DO SUL";"Caxias do Sul";"Santa Catarina";"Rua Ettore Lazzarotto";NULL;NULL;"Terreno no bairro Santa Catarina.";NULL;"0";NULL;NULL;NULL;NULL;NULL;"300000";"0";"0";"2021-03-10 16:19:21"
"794483";"AP302324";"Apartamento 03 dormitórios";"RIO GRANDE DO SUL";"Caxias do Sul";"Villagio Iguatemi";"Rua Reinaldo Scherner";"53";"Apto 802";"Lindo apartamento finamente mobiliado e decorado no bairro Villagio Iguatemi, possui 03 dormitórios sendo 01 suíte com closet, sala de estar, sala de jantar com acesso a sacada gourmet que possui churrasqueira e pia, cozinha equipada com bancada, lavanderia com acesso a sacada, banheiro social, padrão de acabamento classe a, orientação solar e vista privilegiados, 02 vagas de garagem, elevador, salão de festas, aquecedor, ar condicionados instalados.
";"3";"1";"2";"5";"159";"120";"120";"840000";"0";"300";"2021-03-15 17:08:01"
"796352";"AP202329";"Apartamento 02 dormitórios";"RIO GRANDE DO SUL";"Caxias do Sul";"Vila Verde";"Rua Nadyr Antonio Antonioli";"237";"102 -B";"Ótimo apartamento semimobiliado no bairro Vila Verde bem localizado, 02 dormitórios, banheiro social, armários embutidos, box chuveiro, cozinha, espera para água quente, espera para hidrômetro individual, medidores individuais, sala de jantar e sala de estar integrados, área de serviço com terraço nos fundos;
Acabamento com esquadrias de alumínio, piso laminado, piso porcelanato e teto rebaixado em gesso;
Condomínio com alarme, cerca elétroca, interfone e porteiro eletrônico.";"2";"0";"1";NULL;NULL;"78";NULL;"220000";"0";"180";"2021-03-22 11:29:35"
"796372";"AP202330";"Apartamento 02 dormitórios";"RIO GRANDE DO SUL";"Caxias do Sul";"Cinquentenário";"Rua das Gardênias";"638";"701";"Apartamento com 02 dormitórios, sendo 01 suíte, sala 02 ambientes integrados com a cozinha, água quente, área de serviço, armários embutidos, armários na cozinha, boiller, banheiro social, cerca elétrica, espera para Split, gás encanado central, hall, medidores individuais, sacada fechada e sala de jantar;
Acabamento com massa corrida, piso laminado, piso porcelanato e teto rebaixado gesso;
Condomínio com elevador, alarme, cerca elétrica, gradeado, hall de entrada, interfone, jardim, portão eletrônico, salão de festas, ótima localização próxima ao shopping Iguatemi.";"2";"1";"2";"14";"133";"99";"99";"450000";"0";"260";"2021-03-22 13:40:00"
"796941";"AP102277";"Apartamento 01 dormitório";"RIO GRANDE DO SUL";"Caxias do Sul";"Lourdes";"Rua Sinimbu";"520";"1204";"Excelente apartamento 01 dormitório localização privilegiada, cozinha, espera para água quente, espera para hidrômetro individual, espera para Split, gás encanado central com medidor individual, lavanderia, medidores individuais, sacada e sala de estar e jantar integrados;
Acabamento em massa corrida, esquadrias de PVC, persianas nos dormitórios, piso cerâmico e piso laminado;
Condomínio com hall de entrada, alarme, auditório, câmeras de monitoramento, elevador, espaço gourmet, guarita, portaria 24 horas, sala de reuniões, sala de estudos e salão de festas.
";"1";"0";"1";NULL;NULL;"46";"46";"299000";"0";"340";"2021-03-24 16:06:57"
"799417";"CA402310";"Casa 04 dormitórios";"RIO GRANDE DO SUL";"Caxias do Sul";"Colina Sorriso";"Rua Francisco Antônio Sartor Rugeri";"232";NULL;"Residência com acabamentos requintados, escadaria em granito, corrimão de inox, pé direito duplo nas áreas sociais e 2,80mt nos demais ambientes, paredes duplas proporcionando conforto acústico e térmico. Captação da água da chuva, espera para calefação, energia solar, PISCINA AQUECIDA, deck molhado com madeiras de autoclave, esquadrias em itaúba, decoração em gesso e luzes de Led. Amplo jardim e pátio.
A casa é contemplada com apoio social de QUIOSQUE com cozinha, churrasqueira rotativa, forno Iglu e lavabo;
1ª nível: Gabinete, 01 dormitório, banheiro social, cozinha americana e copa com fogão campeiro com serpentina e churrasqueira, sala de jantar, sala de estar com acesso a varanda;
2ª nível: Estar íntimo, banheiro social, 03 dormitórios com sacada, sendo 01 suíte master com closet e hidromassagem (02 dormitórios podem ser transformados em suítes americana).
Subsolo: 04 vagas de garagem, banheiro social, dependência de empregada, churrasqueira, lavanderia e depósitos.
";"4";"1";"4";NULL;NULL;"428";"428";"1900000";"0";"0";"2021-04-04 17:11:52"
"805700";"CA302319";"Casa 03 dormitórios";"RIO GRANDE DO SUL";"Caxias do Sul";"Cinquentenário";"Rua Pedro Mocelin";"124";NULL;"Residência com ótima localização no bairro Cinquentenário, 03 dormitórios sendo 02 suítes máster, área de serviço, closet, cozinha e copa, sala de jantar com acesso a varanda, sala de estar e sala de TV, lareira, sacada, churrasqueira, entrada social, gabinete, hall, lavabo, sala de estudo, água quente, calefação e despensa;
Acabamento com decoração em gesso, esquadrias de madeira, massa corrida, iluminação em LED, pé direito duplo, piso cerâmico, piso laminado e teto rebaixado em gesso;
Casa com alarme, área de lazer, gradeado, hall de entrada, jardim, pátio e portão eletrônico.";"3";"2";"5";NULL;NULL;"298";"298";"1250000";"0";"0";"2021-04-19 16:34:47"
"809810";"AP202341";"Apartamento 02 dormitórios";"RIO GRANDE DO SUL";"Caxias do Sul";"Santa Catarina";"Rua Vereador Dionísio Sandi";"144";"202";"Apartamento 02 dormitórios sendo 01 suíte, sala de jantar, sala de estar com sacada, cozinha, lavanderia com churrasqueira, banheiro social, ficam todos os móveis fixos;
Acabamento com esquadrias de madeira, piso cerâmico e parquet;
Condomínio com hall de entrada, cerca elétrica e interfone. ";"2";"1";"2";"4";"93";"87";"87";"319000";"0";"270";"2021-04-24 09:25:40"
